Date,PE,PB,DivYield
2022-04-27,20.54,3.87,1.23
2022-04-28,30.64,2.95,1.34
2022-04-29,19.32,3.14,1.15
2022-05-02,30.5,4.78,1.6
2022-05-03,17.12,3.06,1.08
2022-05-04,21.24,4.46,1.61
2022-05-05,25.66,3.2,1.6
2022-05-06,31.69,4.58,1.44
2022-05-09,24.11,2.49,1.08
2022-05-10,27.03,4.05,0.84
2022-05-11,18.63,4.57,0.96
2022-05-12,24.03,3.3,1.22
2022-05-13,22.29,3.46,0.88
2022-05-16,24.4,2.99,1.23
2022-05-17,18.92,3.31,1.16
2022-05-18,22.66,3.69,0.98
2022-05-19,33.01,3.59,1.05
2022-05-20,25.62,3.02,0.82
2022-05-23,18.35,3.31,0.82
2022-05-24,29.01,3.98,1.34
2022-05-25,25.95,3.41,2.08
2022-05-26,24.05,3.12,0.85
2022-05-27,25.12,3.02,1.27
2022-05-30,23.29,4.2,1.43
2022-05-31,25.35,2.47,0.89
2022-06-01,22.42,3.29,1.11
2022-06-02,26.82,2.19,1.14
2022-06-03,22.52,4.32,1.2
2022-06-06,30.39,2.43,1.24
2022-06-07,23.65,2.33,0.99
2022-06-08,19.93,2.77,0.85
2022-06-09,32.3,3.31,1.5
2022-06-10,30.52,3.14,1.47
2022-06-13,22.39,2.44,0.94
2022-06-14,16.92,3.33,1.53
2022-06-15,21.97,2.5,1.48
2022-06-16,24.05,3.56,1.39
2022-06-17,24.38,3.03,1.01
2022-06-20,28.46,2.69,1.34
2022-06-21,38.59,3.06,1.66
2022-06-22,26.75,3.62,1.09
2022-06-23,20.72,3.47,1.1
2022-06-24,29.32,3.11,1.07
2022-06-27,20.56,2.3,1.25
2022-06-28,31.27,2.99,0.98
2022-06-29,26.56,2.89,0.96
2022-06-30,39.19,3.07,1.45
2022-07-01,26.27,3.7,1.07
2022-07-04,25.01,3.25,0.95
2022-07-05,20.43,2.69,1.6
2022-07-06,22.57,3.65,1.35
2022-07-07,24.05,2.58,0.78
2022-07-08,33.34,3.15,1.11
2022-07-11,21.78,2.55,1.84
2022-07-12,29.02,3.65,1.38
2022-07-13,25.31,2.36,1.39
2022-07-14,34.54,3.75,1.05
2022-07-15,22.27,3.6,1.49
2022-07-18,28.58,3.6,1.04
2022-07-19,21.2,2.82,2.01
2022-07-20,31.59,3.1,1.2
2022-07-21,25.82,2.81,1.16
2022-07-22,32.16,3.21,1.12
2022-07-25,31.44,3.03,0.57
2022-07-26,31.0,4.48,1.03
2022-07-27,21.62,4.29,1.61
2022-07-28,24.68,2.03,1.17
2022-07-29,24.36,3.31,1.22
2022-08-01,25.36,2.52,1.32
2022-08-02,26.93,3.21,0.87
2022-08-03,12.24,3.15,0.87
2022-08-04,23.14,3.64,0.72
2022-08-05,22.54,2.61,1.0
2022-08-08,14.94,2.22,0.72
2022-08-09,28.18,3.87,0.93
2022-08-10,26.3,3.22,1.15
2022-08-11,19.75,3.23,1.45
2022-08-12,24.38,2.99,0.64
2022-08-15,21.77,1.72,1.32
2022-08-16,27.77,3.14,1.6
2022-08-17,26.08,2.91,1.54
2022-08-18,25.32,2.53,1.05
2022-08-19,37.27,3.33,0.97
2022-08-22,29.35,3.73,1.16
2022-08-23,17.29,2.77,1.5
2022-08-24,22.28,3.51,0.73
2022-08-25,29.04,2.58,1.44
2022-08-26,26.72,3.36,1.59
2022-08-29,17.43,2.79,1.76
2022-08-30,34.44,3.78,1.35
2022-08-31,23.29,3.28,1.31
2022-09-01,30.42,3.91,0.69
2022-09-02,29.77,3.46,1.2
2022-09-05,24.73,2.07,1.29
2022-09-06,26.78,3.79,1.43
2022-09-07,34.52,4.16,0.88
2022-09-08,33.69,2.46,1.15
2022-09-09,28.73,2.82,1.68
2022-09-12,22.09,2.73,1.27
2022-09-13,28.75,1.5,0.92
2022-09-14,30.79,3.96,1.31
2022-09-15,16.74,2.72,0.96
2022-09-16,30.94,3.37,1.09
2022-09-19,25.05,2.09,1.58
2022-09-20,22.06,2.91,1.7
2022-09-21,16.18,2.53,1.37
2022-09-22,25.41,2.83,1.49
2022-09-23,27.84,3.81,1.36
2022-09-26,24.04,2.94,0.8
2022-09-27,29.77,2.98,1.36
2022-09-28,19.84,2.41,1.31
2022-09-29,23.55,3.33,0.91
2022-09-30,22.23,4.57,0.95
2022-10-03,23.85,3.39,0.87
2022-10-04,27.22,3.54,1.23
2022-10-05,29.04,4.02,1.38
2022-10-06,16.9,2.27,1.01
2022-10-07,34.91,2.97,0.75
2022-10-10,24.26,2.9,0.95
2022-10-11,25.37,2.37,1.2
2022-10-12,26.3,3.22,1.55
2022-10-13,24.61,1.99,1.54
2022-10-14,21.28,4.34,1.24
2022-10-17,28.13,3.42,0.94
2022-10-18,38.07,3.03,1.04
2022-10-19,24.91,4.96,1.8
2022-10-20,13.53,3.45,1.46
2022-10-21,25.96,3.08,1.21
2022-10-24,27.57,2.72,1.11
2022-10-25,24.47,3.97,1.19
2022-10-26,17.46,2.42,0.73
2022-10-27,22.9,3.7,1.03
2022-10-28,29.91,4.43,1.12
2022-10-31,23.32,3.9,1.83
2022-11-01,26.64,3.51,1.09
2022-11-02,21.76,3.04,1.01
2022-11-03,30.29,3.92,1.45
2022-11-04,17.14,3.82,1.14
2022-11-07,30.82,2.77,1.03
2022-11-08,25.38,3.42,1.44
2022-11-09,23.46,3.41,1.1
2022-11-10,25.1,2.29,1.55
2022-11-11,30.77,3.14,1.42
2022-11-14,14.4,2.74,0.59
2022-11-15,28.36,2.62,0.97
2022-11-16,27.03,3.76,1.67
2022-11-17,24.61,3.22,0.83
2022-11-18,17.27,2.81,1.4
2022-11-21,25.15,2.85,0.74
2022-11-22,14.05,3.33,0.82
2022-11-23,22.29,3.7,1.05
2022-11-24,21.41,3.25,1.55
2022-11-25,23.16,4.68,0.79
2022-11-28,20.47,3.63,1.05
2022-11-29,25.23,3.0,0.9
2022-11-30,31.02,3.23,1.13
2022-12-01,30.4,3.95,0.69
2022-12-02,24.64,3.09,1.41
2022-12-05,25.26,3.27,1.42
2022-12-06,28.3,2.67,1.55
2022-12-07,25.44,3.15,0.95
2022-12-08,22.13,3.25,1.22
2022-12-09,34.9,3.69,1.6
2022-12-12,21.79,4.16,1.15
2022-12-13,30.83,3.1,0.88
2022-12-14,25.53,3.48,1.37
2022-12-15,31.24,3.35,1.06
2022-12-16,28.49,2.59,1.52
2022-12-19,28.36,2.63,0.84
2022-12-20,31.6,3.01,1.14
2022-12-21,23.71,2.97,1.35
2022-12-22,20.35,2.93,1.4
2022-12-23,20.91,2.63,0.61
2022-12-26,16.88,3.2,1.42
2022-12-27,18.34,3.66,1.27
2022-12-28,24.1,2.81,1.62
2022-12-29,23.01,2.88,0.96
2022-12-30,27.35,3.49,1.07
2023-01-02,17.59,2.8,1.4
2023-01-03,22.38,3.55,1.41
2023-01-04,20.34,3.56,1.51
2023-01-05,28.56,4.01,0.55
2023-01-06,27.54,3.6,1.5
2023-01-09,23.05,3.99,1.3
2023-01-10,31.09,3.14,1.26
2023-01-11,34.54,2.77,1.04
2023-01-12,22.54,3.11,1.47
2023-01-13,33.6,3.69,0.99
2023-01-16,23.54,2.67,1.6
2023-01-17,31.72,2.73,0.37
2023-01-18,24.63,3.18,1.18
2023-01-19,24.16,3.3,0.92
2023-01-20,35.48,2.95,1.19
2023-01-23,27.0,3.39,1.34
2023-01-24,31.76,3.06,1.07
2023-01-25,25.18,2.89,0.92
2023-01-26,29.51,3.89,0.67
2023-01-27,30.06,2.23,1.06
2023-01-30,23.66,3.43,0.53
2023-01-31,20.46,2.43,1.69
2023-02-01,14.82,2.69,0.63
2023-02-02,24.21,4.01,1.03
2023-02-03,33.78,2.48,1.59
2023-02-06,35.28,2.86,1.18
2023-02-07,29.73,3.35,1.52
2023-02-08,26.17,3.07,1.09
2023-02-09,19.81,3.47,1.39
2023-02-10,25.37,2.58,1.31
2023-02-13,23.99,2.75,1.07
2023-02-14,28.37,2.19,1.43
2023-02-15,28.53,4.37,1.77
2023-02-16,15.98,3.48,0.97
2023-02-17,21.41,3.66,1.18
2023-02-20,31.98,2.65,1.04
2023-02-21,28.36,3.51,0.93
2023-02-22,19.2,3.09,1.26
2023-02-23,21.48,3.81,0.85
2023-02-24,22.03,3.94,1.01
2023-02-27,25.41,4.14,1.18
2023-02-28,27.32,2.41,1.92
2023-03-01,13.96,4.51,1.13
2023-03-02,17.36,3.43,1.35
2023-03-03,23.33,3.66,1.4
2023-03-06,24.66,3.63,1.32
2023-03-07,27.43,3.14,1.24
2023-03-08,27.8,3.44,1.07
2023-03-09,29.25,3.21,1.14
2023-03-10,32.33,3.96,1.0
2023-03-13,27.29,2.63,0.97
2023-03-14,24.22,3.1,1.53
2023-03-15,25.08,3.23,1.23
2023-03-16,29.92,2.8,1.31
2023-03-17,20.17,3.69,0.84
2023-03-20,18.9,3.32,1.59
2023-03-21,29.11,3.86,1.52
2023-03-22,29.14,3.31,1.38
2023-03-23,22.23,3.45,1.21
2023-03-24,18.62,3.13,0.82
2023-03-27,33.23,3.11,1.24
2023-03-28,23.35,3.06,1.21
2023-03-29,21.34,3.34,1.21
2023-03-30,23.14,2.54,0.99
2023-03-31,25.38,2.52,0.92
2023-04-03,28.11,3.62,1.45
2023-04-04,30.95,4.07,1.84
2023-04-05,27.63,3.25,0.89
2023-04-06,19.32,2.22,1.36
2023-04-07,26.89,2.98,1.34
2023-04-10,33.03,3.23,1.65
2023-04-11,22.01,2.65,1.45
2023-04-12,33.03,3.32,0.92
2023-04-13,25.9,2.82,1.06
2023-04-14,30.95,2.99,0.65
2023-04-17,19.21,4.11,1.14
2023-04-18,23.85,3.66,1.47
2023-04-19,27.07,3.43,1.4
2023-04-20,23.2,3.59,1.24
2023-04-21,22.0,3.95,1.11
2023-04-24,25.59,3.63,1.61
2023-04-25,25.3,3.04,1.14
2023-04-26,26.78,2.64,1.06
2023-04-27,20.95,3.44,1.2
2023-04-28,18.73,3.75,1.2
2023-05-01,18.75,3.92,0.93
2023-05-02,16.32,2.46,1.15
2023-05-03,20.17,3.49,0.97
2023-05-04,26.38,2.45,0.86
2023-05-05,23.57,4.26,1.25
2023-05-08,23.19,3.23,0.66
2023-05-09,36.17,3.56,0.89
2023-05-10,21.0,3.1,1.22
2023-05-11,20.89,2.21,1.1
2023-05-12,31.43,2.12,1.37
2023-05-15,28.1,2.95,0.93
2023-05-16,25.3,3.21,1.14
2023-05-17,21.34,2.76,1.4
2023-05-18,29.33,3.17,1.29
2023-05-19,26.94,2.98,1.24
2023-05-22,22.45,3.05,0.9
2023-05-23,19.32,2.2,0.91
2023-05-24,22.64,2.34,1.26
2023-05-25,19.77,3.44,0.82
2023-05-26,35.8,2.54,0.99
2023-05-29,28.99,2.45,1.21
2023-05-30,22.48,4.33,0.99
2023-05-31,29.79,3.4,1.39
2023-06-01,26.16,2.13,0.85
2023-06-02,28.43,2.59,1.37
2023-06-05,28.24,3.51,1.48
2023-06-06,27.9,3.15,0.99
2023-06-07,29.64,2.94,1.3
2023-06-08,27.58,3.01,1.23
2023-06-09,27.21,2.89,0.95
2023-06-12,24.12,3.88,1.35
2023-06-13,27.59,3.44,1.53
2023-06-14,29.34,4.03,1.16
2023-06-15,16.6,2.66,1.43
2023-06-16,24.69,2.17,1.89
2023-06-19,28.12,2.83,1.62
2023-06-20,18.6,3.67,0.68
2023-06-21,28.33,3.42,1.23
2023-06-22,30.03,2.99,1.56
2023-06-23,35.12,3.4,1.13
2023-06-26,25.51,2.7,1.41
2023-06-27,29.39,2.72,1.47
2023-06-28,16.99,4.04,1.02
2023-06-29,24.36,4.47,1.94
2023-06-30,27.87,3.4,1.6
2023-07-03,18.36,3.26,1.25
2023-07-04,22.48,3.84,1.38
2023-07-05,27.13,2.93,1.44
2023-07-06,28.74,3.48,1.39
2023-07-07,27.51,3.16,0.94
2023-07-10,27.34,2.98,1.63
2023-07-11,18.5,2.81,1.28
2023-07-12,24.35,2.76,0.88
2023-07-13,25.41,3.57,1.24
2023-07-14,18.96,2.53,1.22
2023-07-17,18.45,4.11,0.85
2023-07-18,28.73,2.58,1.18
2023-07-19,28.85,2.47,1.14
2023-07-20,25.81,3.22,0.76
2023-07-21,24.97,2.7,1.64
2023-07-24,33.42,3.6,1.6
2023-07-25,22.74,2.53,1.32
2023-07-26,28.99,3.48,0.99
2023-07-27,29.12,3.33,0.92
2023-07-28,30.19,2.52,1.13
2023-07-31,19.93,3.47,1.45
2023-08-01,18.5,3.75,1.21
2023-08-02,25.64,3.04,1.32
2023-08-03,23.13,3.53,0.83
2023-08-04,16.25,2.81,0.94
2023-08-07,24.29,3.71,0.74
2023-08-08,22.94,3.34,1.29
2023-08-09,31.69,3.47,0.35
2023-08-10,31.37,1.5,1.13
2023-08-11,24.39,3.18,1.19
2023-08-14,23.09,3.21,0.83
2023-08-15,19.68,3.23,1.66
2023-08-16,30.15,2.58,0.81
2023-08-17,30.52,3.17,1.07
2023-08-18,29.58,3.95,1.22
2023-08-21,26.41,3.55,0.86
2023-08-22,16.99,3.09,0.76
2023-08-23,27.62,3.6,1.17
2023-08-24,30.81,3.46,1.3
2023-08-25,30.39,3.35,1.14
2023-08-28,18.8,3.68,1.37
2023-08-29,24.39,2.51,1.7
2023-08-30,31.88,2.36,1.16
2023-08-31,25.77,2.86,1.3
2023-09-01,19.91,3.56,1.43
2023-09-04,24.08,3.69,1.44
2023-09-05,30.71,2.53,1.41
2023-09-06,35.28,2.6,1.19
2023-09-07,28.97,3.27,1.31
2023-09-08,24.05,3.7,1.18
2023-09-11,27.17,3.19,0.5
2023-09-12,33.68,2.17,1.4
2023-09-13,31.8,3.46,1.38
2023-09-14,22.11,3.14,1.28
2023-09-15,25.7,3.12,0.77
2023-09-18,27.07,2.95,1.14
2023-09-19,26.73,3.29,1.14
2023-09-20,26.1,3.88,1.42
2023-09-21,24.04,2.62,1.75
2023-09-22,37.54,4.01,0.69
2023-09-25,29.57,2.75,0.8
2023-09-26,27.37,4.13,1.18
2023-09-27,29.34,2.86,0.48
2023-09-28,12.6,3.52,1.37
2023-09-29,27.24,1.55,1.14
2023-10-02,30.0,4.2,1.05
2023-10-03,22.93,3.36,0.94
2023-10-04,20.39,3.65,1.48
2023-10-05,26.24,3.65,1.12
2023-10-06,31.73,2.82,1.68
2023-10-09,27.78,3.28,0.83
2023-10-10,26.76,2.3,1.25
2023-10-11,21.23,3.64,1.43
2023-10-12,23.07,2.61,1.14
2023-10-13,20.28,2.62,0.51
2023-10-16,19.62,2.58,1.03
2023-10-17,27.72,2.11,1.05
2023-10-18,23.93,4.2,1.69
2023-10-19,28.71,3.89,1.17
2023-10-20,26.5,3.16,1.54
2023-10-23,18.48,3.31,1.0
2023-10-24,30.23,3.22,1.62
2023-10-25,23.6,3.39,0.94
2023-10-26,23.42,2.54,1.27
2023-10-27,19.88,2.68,0.77
2023-10-30,26.25,3.49,0.8
2023-10-31,25.71,3.1,0.95
2023-11-01,26.59,3.96,1.13
2023-11-02,29.93,3.52,1.4
2023-11-03,32.07,2.98,1.4
2023-11-06,26.82,2.86,0.75
2023-11-07,24.81,2.51,1.14
2023-11-08,31.93,3.14,1.52
2023-11-09,31.27,3.04,1.21
2023-11-10,24.41,2.57,1.66
2023-11-13,25.74,2.47,1.14
2023-11-14,26.68,3.18,0.8
2023-11-15,27.09,4.55,0.73
2023-11-16,21.67,2.81,1.28
2023-11-17,25.1,3.33,1.2
2023-11-20,25.48,4.34,1.53
2023-11-21,23.59,3.97,1.23
2023-11-22,26.08,3.23,1.65
2023-11-23,24.45,4.38,1.22
2023-11-24,23.45,3.24,1.46
2023-11-27,24.0,3.26,1.25
2023-11-28,21.3,3.44,1.27
2023-11-29,23.13,1.77,1.55
2023-11-30,30.02,1.65,1.11
2023-12-01,27.98,3.29,0.99
2023-12-04,22.31,3.87,1.57
2023-12-05,24.8,3.12,1.38
2023-12-06,32.7,2.68,0.69
2023-12-07,30.45,4.55,1.34
2023-12-08,21.16,2.85,1.65
2023-12-11,23.91,3.43,1.0
2023-12-12,20.29,3.35,1.07
2023-12-13,25.49,4.1,1.13
2023-12-14,25.73,3.34,1.36
2023-12-15,17.65,3.06,1.32
2023-12-18,24.17,3.29,0.95
2023-12-19,23.2,3.79,1.48
2023-12-20,27.51,3.4,0.89
2023-12-21,26.4,3.57,1.11
2023-12-22,28.6,3.36,1.02
2023-12-25,19.13,3.75,1.42
2023-12-26,24.48,3.88,0.87
2023-12-27,26.58,3.24,0.59
2023-12-28,24.89,2.98,1.54
2023-12-29,26.35,2.65,0.55
2024-01-01,32.87,3.38,1.53
2024-01-02,24.85,3.65,1.48
2024-01-03,22.02,4.11,1.32
2024-01-04,24.77,3.32,1.8
2024-01-05,29.89,3.7,0.86
2024-01-08,26.36,3.05,1.23
2024-01-09,27.44,2.54,1.5
2024-01-10,17.3,3.37,1.6
2024-01-11,21.33,3.6,1.58
2024-01-12,28.48,3.89,0.98
2024-01-15,23.19,2.87,1.35
2024-01-16,23.14,2.34,1.45
2024-01-17,27.18,1.84,1.27
2024-01-18,25.62,4.2,1.64
2024-01-19,18.14,2.38,1.15
2024-01-22,19.22,3.76,1.2
2024-01-23,24.15,3.49,1.05
2024-01-24,28.1,3.18,1.41
2024-01-25,25.56,3.11,0.95
2024-01-26,27.06,2.47,0.77
2024-01-29,26.41,3.76,1.62
2024-01-30,29.68,2.25,1.07
2024-01-31,22.43,4.47,1.41
2024-02-01,36.33,3.78,1.1
2024-02-02,21.33,2.85,1.65
2024-02-05,29.22,3.24,1.06
2024-02-06,24.63,2.81,1.1
2024-02-07,28.2,3.82,1.43
2024-02-08,29.95,1.75,1.48
2024-02-09,25.97,3.24,1.08
2024-02-12,25.37,3.01,1.05
2024-02-13,18.5,2.99,1.5
2024-02-14,19.95,2.66,1.13
2024-02-15,20.76,3.08,1.43
2024-02-16,32.23,3.27,0.97
2024-02-19,23.97,2.31,1.44
2024-02-20,28.96,2.66,0.96
2024-02-21,27.52,3.93,1.46
2024-02-22,33.05,2.87,0.89
2024-02-23,30.29,3.83,1.62
2024-02-26,23.24,2.96,0.8
2024-02-27,29.37,3.38,1.17
2024-02-28,28.77,2.53,1.33
2024-02-29,31.62,3.26,1.51
2024-03-01,25.25,3.56,1.25
2024-03-04,25.1,2.34,1.01
2024-03-05,28.33,2.89,1.26
2024-03-06,26.82,2.84,1.79
2024-03-07,30.56,3.03,0.97
2024-03-08,24.11,2.42,1.45
2024-03-11,19.94,2.53,1.28
2024-03-12,25.05,3.65,1.1
2024-03-13,23.23,4.11,1.19
2024-03-14,25.23,4.18,1.58
2024-03-15,27.46,3.36,1.05
2024-03-18,18.8,3.99,1.04
2024-03-19,33.41,2.26,1.33
2024-03-20,22.27,3.31,0.96
2024-03-21,26.91,3.91,1.39
2024-03-22,22.56,3.61,1.3
2024-03-25,19.92,2.83,0.93
2024-03-26,27.96,3.47,1.5
2024-03-27,21.07,3.26,1.19
2024-03-28,21.98,3.21,1.14
2024-03-29,26.97,4.14,1.4
2024-04-01,25.88,4.12,1.2
2024-04-02,24.05,2.5,0.72
2024-04-03,24.48,3.29,1.71
2024-04-04,25.22,2.08,1.22
2024-04-05,22.86,2.7,1.46
2024-04-08,26.23,4.15,1.37
2024-04-09,25.99,3.88,1.18
2024-04-10,20.94,3.83,1.49
2024-04-11,34.77,3.05,1.4
2024-04-12,16.3,3.71,1.3
2024-04-15,24.55,3.46,1.62
2024-04-16,23.68,2.46,1.16
2024-04-17,24.33,2.99,1.42
2024-04-18,32.55,2.06,1.35
2024-04-19,31.9,2.97,0.78
2024-04-22,25.73,3.36,1.12
2024-04-23,25.07,1.95,1.88
2024-04-24,33.81,2.78,0.05
2024-04-25,21.64,3.07,1.38
2024-04-26,23.87,3.42,1.2
2024-04-29,19.54,2.93,0.95
2024-04-30,24.27,4.51,1.17
2024-05-01,25.66,3.29,1.32
2024-05-02,16.88,2.81,1.64
2024-05-03,24.05,2.78,1.41
2024-05-06,19.42,2.98,1.4
2024-05-07,22.55,3.53,1.06
2024-05-08,21.24,2.34,1.24
2024-05-09,29.89,2.3,0.98
2024-05-10,22.09,2.25,1.26
2024-05-13,19.26,1.96,1.42
2024-05-14,28.51,4.04,0.96
2024-05-15,22.91,3.38,1.25
2024-05-16,26.02,2.75,1.03
2024-05-17,29.92,3.78,1.38
2024-05-20,33.08,2.21,0.61
2024-05-21,17.44,2.91,1.53
2024-05-22,22.81,3.44,1.45
2024-05-23,26.31,3.93,1.37
2024-05-24,27.73,3.17,1.02
2024-05-27,29.5,3.08,1.35
2024-05-28,25.26,4.07,0.99
2024-05-29,22.16,3.65,2.0
2024-05-30,25.14,3.21,1.03
2024-05-31,18.72,3.17,1.35
2024-06-03,20.84,3.42,1.49
2024-06-04,27.78,3.54,1.7
2024-06-05,14.15,2.74,1.47
2024-06-06,25.6,2.07,0.94
2024-06-07,23.57,2.63,0.81
2024-06-10,31.52,2.99,1.35
2024-06-11,24.8,3.23,0.98
2024-06-12,33.99,3.82,0.6
2024-06-13,23.16,1.5,0.98
2024-06-14,28.9,3.12,1.34
2024-06-17,27.5,3.81,1.13
2024-06-18,19.58,2.82,1.04
2024-06-19,24.26,3.24,1.14
2024-06-20,27.29,2.27,1.14
2024-06-21,27.01,2.77,1.48
2024-06-24,18.8,3.35,1.19
2024-06-25,29.68,2.75,1.04
2024-06-26,28.15,2.72,1.15
2024-06-27,23.88,3.87,1.41
2024-06-28,19.56,3.79,0.86
2024-07-01,21.73,3.16,1.38
2024-07-02,19.78,2.72,1.33
2024-07-03,18.06,2.52,1.3
2024-07-04,29.83,3.24,1.49
2024-07-05,22.73,3.16,1.07
2024-07-08,28.39,3.46,1.24
2024-07-09,27.35,3.29,1.21
2024-07-10,19.49,3.83,1.25
2024-07-11,12.42,2.93,1.18
